,C,adv_dist,bestC,noise_dist,orig_dist,orig_img,orig_reconstruction_dist,orig_target_dist,orig_target_recon_dist,recon_dist,target_img,target_orig_recon_dist,target_recon_dist,target_reconstruction_dist
0,9.53674316406e-07,3.1465241909,721.54699707,13.2361277021,10.9878616333,9372,4.72091293335,10.5945863724,10.9198656082,11.556002673,6658,10.9878616333,3.14652371407,3.14652371407
1,1.26190991523e-06,3.14652371407,721.54699707,13.2360823553,10.9878616333,9372,4.72091293335,10.5945863724,10.9198656082,11.5559534978,6658,10.9878616333,3.14652371407,3.14652371407
2,1.66976997207e-06,3.14652371407,721.54699707,13.2361276358,10.9878616333,9372,4.72091293335,10.5945863724,10.9198656082,11.5560063116,6658,10.9878616333,3.14652371407,3.14652371407
3,2.20945389628e-06,3.14652371407,721.54699707,13.2361244177,10.9878616333,9372,4.72091293335,10.5945863724,10.9198656082,11.5559995204,6658,10.9878616333,3.14652371407,3.14652371407
4,2.92356799036e-06,3.14652442932,721.54699707,13.2361246232,10.9878616333,9372,4.72091293335,10.5945863724,10.9198656082,11.5560005928,6658,10.9878616333,3.14652371407,3.14652371407
5,3.86849023926e-06,3.14652299881,721.54699707,13.2361177101,10.9878606796,9372,4.72091293335,10.5945863724,10.9198656082,11.5559912586,6658,10.9878616333,3.14652371407,3.14652371407
6,5.11881899001e-06,3.14652323723,721.54699707,13.2358677729,10.9878616333,9372,4.72091293335,10.5945863724,10.9198656082,11.5555477901,6658,10.9878616333,3.14652371407,3.14652371407
7,6.77326488585e-06,3.14652252197,721.54699707,13.2361144298,10.9878616333,9372,4.72091293335,10.5945863724,10.9198656082,11.5559943611,6658,10.9878616333,3.14652371407,3.14652371407
8,8.96244182513e-06,3.14652323723,721.54699707,13.2361222432,10.9878616333,9372,4.72091293335,10.5945863724,10.9198656082,11.5559995483,6658,10.9878616333,3.14652371407,3.14652371407
9,1.18591788123e-05,3.14652323723,721.54699707,13.2361121021,10.9878606796,9372,4.72091293335,10.5945863724,10.9198656082,11.5559916742,6658,10.9878616333,3.14652371407,3.14652371407
10,1.56921669259e-05,3.14652371407,721.54699707,13.2361163965,10.9878616333,9372,4.72091293335,10.5945863724,10.9198656082,11.5559928452,6658,10.9878616333,3.14652371407,3.14652371407
11,2.07640077861e-05,3.14652371407,721.54699707,13.2361097893,10.9878616333,9372,4.72091293335,10.5945863724,10.9198656082,11.5559940612,6658,10.9878616333,3.14652371407,3.14652371407
12,2.74751109828e-05,3.14652323723,721.54699707,13.2361126372,10.9878616333,9372,4.72091293335,10.5945863724,10.9198656082,11.5559906972,6658,10.9878616333,3.14652371407,3.14652371407
13,3.63553008356e-05,3.14652466774,721.54699707,13.2361041569,10.9878616333,9372,4.72091293335,10.5945863724,10.9198656082,11.5559843154,6658,10.9878616333,3.14652371407,3.14652371407
14,4.81056413264e-05,3.14652323723,721.54699707,13.2360881041,10.9878606796,9372,4.72091293335,10.5945863724,10.9198656082,11.5559710577,6658,10.9878616333,3.14652371407,3.14652371407
15,6.36537952232e-05,3.14652276039,721.54699707,13.2360786509,10.9878616333,9372,4.72091293335,10.5945863724,10.9198656082,11.5559663205,6658,10.9878616333,3.14652371407,3.14652371407
16,8.42272420414e-05,3.1465241909,721.54699707,13.2360097452,10.9878616333,9372,4.72091293335,10.5945863724,10.9198656082,11.5558953942,6658,10.9878616333,3.14652371407,3.14652371407
17,0.000111450201075,3.14652490616,721.54699707,13.1513094937,10.9878616333,9372,4.72091293335,10.5945863724,10.9198656082,11.4942043261,6658,10.9878616333,3.14652371407,3.14652371407
18,0.000147471859236,3.14657974243,721.54699707,13.183166086,10.9878854752,9372,4.72091293335,10.5945863724,10.9198656082,11.5174639051,6658,10.9878616333,3.14652371407,3.14652371407
19,0.000195136017282,3.14653277397,721.54699707,13.1507465328,10.9878778458,9372,4.72091293335,10.5945863724,10.9198656082,11.4943453543,6658,10.9878616333,3.14652371407,3.14652371407
20,0.000258205633145,3.14657378197,721.54699707,13.2291643089,10.9878644943,9372,4.72091293335,10.5945863724,10.9198656082,11.5509445243,6658,10.9878616333,3.14652371407,3.14652371407
21,0.000341659877449,3.14659786224,721.54699707,13.1819467091,10.9878730774,9372,4.72091293335,10.5945863724,10.9198656082,11.516081461,6658,10.9878616333,3.14652371407,3.14652371407
22,0.000452087260783,3.14649796486,721.54699707,13.1874969136,10.9877567291,9372,4.72091293335,10.5945863724,10.9198656082,11.5201025209,6658,10.9878616333,3.14652371407,3.14652371407
23,0.000598205719143,3.14651107788,721.54699707,13.0993077815,10.98787117,9372,4.72091293335,10.5945863724,10.9198656082,11.454288434,6658,10.9878616333,3.14652371407,3.14652371407
24,0.00079155084677,3.14656400681,721.54699707,12.4990318675,10.9878549576,9372,4.72091293335,10.5945863724,10.9198656082,11.0066117781,6658,10.9878616333,3.14652371407,3.14652371407
25,0.00104738678783,3.14678168297,721.54699707,13.1382751081,10.987859726,9372,4.72091293335,10.5945863724,10.9198656082,11.4838729452,6658,10.9878616333,3.14652371407,3.14652371407
26,0.001385911135,3.14679145813,721.54699707,11.1231721004,10.9878873825,9372,4.72091293335,10.5945863724,10.9198656082,10.0933397559,6658,10.9878616333,3.14652371407,3.14652371407
27,0.00183384947013,3.14671945572,721.54699707,11.396350723,10.9880666733,9372,4.72091293335,10.5945863724,10.9198656082,10.248651557,6658,10.9878616333,3.14652371407,3.14652371407
28,0.00242656515911,3.14616370201,721.54699707,11.0906653422,10.9877405167,9372,4.72091293335,10.5945863724,10.9198656082,10.0919610977,6658,10.9878616333,3.14652371407,3.14652371407
29,0.0032108516898,3.1471862793,721.54699707,12.0509538689,10.9879379272,9372,4.72091293335,10.5945863724,10.9198656082,10.7107079988,6658,10.9878616333,3.14652371407,3.14652371407
30,0.00424862606451,3.14704084396,721.54699707,10.701917462,10.9877595901,9372,4.72091293335,10.5945863724,10.9198656082,9.91545874385,6658,10.9878616333,3.14652371407,3.14652371407
31,0.00562181835994,3.14658021927,721.54699707,10.1352213723,10.987868309,9372,4.72091293335,10.5945863724,10.9198656082,9.65815015389,6658,10.9878616333,3.14652371407,3.14652371407
32,0.00743883755058,3.14608430862,721.54699707,8.75908630828,10.9877290726,9372,4.72091293335,10.5945863724,10.9198656082,9.18596252019,6658,10.9878616333,3.14652371407,3.14652371407
33,0.00984313338995,3.14721846581,721.54699707,11.2019475549,10.9883718491,9372,4.72091293335,10.5945863724,10.9198656082,10.1942929369,6658,10.9878616333,3.14652371407,3.14652371407
34,0.013024517335,3.14639830589,721.54699707,9.22868162323,10.9875020981,9372,4.72091293335,10.5945863724,10.9198656082,9.33892985118,6658,10.9878616333,3.14652371407,3.14652371407
35,0.0172341521829,3.14649653435,721.54699707,7.86322270414,10.987783432,9372,4.72091293335,10.5945863724,10.9198656082,9.11028815792,6658,10.9878616333,3.14652371407,3.14652371407
36,0.0228043757379,3.1463034153,721.54699707,8.7872509001,10.9876670837,9372,4.72091293335,10.5945863724,10.9198656082,9.35698103733,6658,10.9878616333,3.14652371407,3.14652371407
37,0.0301749445498,3.14577507973,721.54699707,8.5010853894,10.9878854752,9372,4.72091293335,10.5945863724,10.9198656082,9.33798523103,6658,10.9878616333,3.14652371407,3.14652371407
38,0.0399277433753,3.14663410187,721.54699707,7.99279010737,10.9877462387,9372,4.72091293335,10.5945863724,10.9198656082,9.12781808602,6658,10.9878616333,3.14652371407,3.14652371407
39,0.0528327301145,3.14704990387,721.54699707,8.02803751431,10.9877710342,9372,4.72091293335,10.5945863724,10.9198656082,9.21990293043,6658,10.9878616333,3.14652371407,3.14652371407
40,0.0699087157845,3.14636921883,721.54699707,7.85232237028,10.9875440598,9372,4.72091293335,10.5945863724,10.9198656082,9.12429782243,6658,10.9878616333,3.14652371407,3.14652371407
