,C,adv_dist,bestC,noise_dist,orig_dist,orig_img,orig_reconstruction_dist,orig_target_dist,orig_target_recon_dist,recon_dist,target_img,target_orig_recon_dist,target_recon_dist,target_reconstruction_dist
0,9.53674316406e-07,210.323638916,58.0243225098,26.5128222881,2530.83911133,14792,301.92288208,49.5016174316,2578.80004883,2245.89327288,13878,2530.83935547,210.323867798,210.323867798
1,1.26190991523e-06,210.323730469,58.0243225098,26.5126530643,2530.83935547,14792,301.92288208,49.5016174316,2578.80004883,2245.89272109,13878,2530.83935547,210.323867798,210.323867798
2,1.66976997207e-06,210.323684692,58.0243225098,26.5127291852,2530.83911133,14792,301.92288208,49.5016174316,2578.80004883,2245.89296027,13878,2530.83935547,210.323883057,210.323867798
3,2.20945389628e-06,210.323776245,58.0243225098,26.5126510021,2530.83911133,14792,301.92288208,49.5016174316,2578.80004883,2245.89237481,13878,2530.83935547,210.323883057,210.323867798
4,2.92356799036e-06,210.32371521,58.0243225098,26.5127311336,2530.83911133,14792,301.92288208,49.5016174316,2578.80004883,2245.89292661,13878,2530.83935547,210.323852539,210.323867798
5,3.86849023926e-06,210.323669434,58.0243225098,26.5127570297,2530.83886719,14792,301.92288208,49.5016174316,2578.80004883,2245.8931344,13878,2530.83935547,210.323867798,210.323867798
6,5.11881899001e-06,210.323730469,58.0243225098,26.5125653886,2530.83911133,14792,301.92288208,49.5016174316,2578.80004883,2245.89188001,13878,2530.83935547,210.323867798,210.323867798
7,6.77326488585e-06,210.323745728,58.0243225098,26.5126371252,2530.83886719,14792,301.92288208,49.5016174316,2578.79980469,2245.89234272,13878,2530.83935547,210.323867798,210.323867798
8,8.96244182513e-06,210.323669434,58.0243225098,26.5126325392,2530.83862305,14792,301.92288208,49.5016174316,2578.80004883,2245.89242334,13878,2530.83935547,210.323867798,210.323867798
9,1.18591788123e-05,210.323669434,58.0243225098,26.512347126,2530.83837891,14792,301.92288208,49.5016174316,2578.80004883,2245.89053478,13878,2530.83935547,210.323867798,210.323867798
10,1.56921669259e-05,210.323516846,58.0243225098,26.5123343487,2530.83789062,14792,301.92288208,49.5016174316,2578.80004883,2245.89002177,13878,2530.83935547,210.323867798,210.323867798
11,2.07640077861e-05,210.323806763,58.0243225098,17.4085905773,2530.83911133,14792,301.92288208,49.5016174316,2578.80004883,2345.93609225,13878,2530.83935547,210.323867798,210.323867798
12,2.74751109828e-05,210.323577881,58.0243225098,26.5121348047,2530.8371582,14792,301.92288208,49.5016174316,2578.80004883,2245.88902713,13878,2530.83935547,210.323867798,210.323867798
13,3.63553008356e-05,210.324234009,58.0243225098,17.369225936,2530.83862305,14792,301.92288208,49.5016174316,2578.79980469,2349.81385769,13878,2530.83935547,210.323867798,210.323867798
14,4.81056413264e-05,210.323501587,58.0243225098,17.4094609634,2530.83666992,14792,301.92288208,49.5016174316,2578.80004883,2345.711273,13878,2530.83935547,210.323867798,210.323867798
15,6.36537952232e-05,210.323272705,58.0243225098,17.383230507,2530.83666992,14792,301.92288208,49.5016174316,2578.80004883,2347.67947986,13878,2530.83935547,210.323867798,210.323867798
16,8.42272420414e-05,210.323516846,58.0243225098,17.4112100233,2530.83618164,14792,301.92288208,49.5016174316,2578.80004883,2345.9527679,13878,2530.83935547,210.323883057,210.323867798
17,0.000111450201075,210.323638916,58.0243225098,17.3859391866,2530.8359375,14792,301.92288208,49.5016174316,2578.80004883,2347.82771966,13878,2530.83935547,210.323867798,210.323867798
18,0.000147471859236,210.323394775,58.0243225098,17.4000303397,2530.83422852,14792,301.92288208,49.5016174316,2578.80004883,2346.27598144,13878,2530.83935547,210.323867798,210.323867798
19,0.000195136017282,210.322906494,58.0243225098,17.3887340711,2530.83081055,14792,301.92288208,49.5016174316,2578.80004883,2347.58537243,13878,2530.83935547,210.323883057,210.323867798
20,0.000258205633145,210.322692871,58.0243225098,16.5277848037,2530.82836914,14792,301.92288208,49.5016174316,2578.80004883,2379.37454169,13878,2530.83935547,210.323852539,210.323867798
21,0.000341659877449,210.322357178,58.0243225098,16.5278901038,2530.82641602,14792,301.92288208,49.5016174316,2578.80004883,2380.65886205,13878,2530.83935547,210.323867798,210.323867798
22,0.000452087260783,210.321655273,58.0243225098,16.5322517261,2530.82177734,14792,301.92288208,49.5016174316,2578.80004883,2374.7853659,13878,2530.83935547,210.323867798,210.323867798
23,0.000598205719143,210.321151733,58.0243225098,16.5284210886,2530.81738281,14792,301.92288208,49.5016174316,2578.80004883,2379.2372318,13878,2530.83935547,210.323883057,210.323867798
24,0.00079155084677,210.319869995,58.0243225098,16.5274933297,2530.80957031,14792,301.92288208,49.5016174316,2578.80004883,2379.33574319,13878,2530.83935547,210.323867798,210.323867798
25,0.00104738678783,210.317260742,58.0243225098,16.5301253698,2530.79370117,14792,301.92288208,49.5016174316,2578.80004883,2384.8773296,13878,2530.83935547,210.323883057,210.323867798
26,0.001385911135,210.316802979,58.0243225098,16.439250766,2530.78344727,14792,301.92288208,49.5016174316,2578.80004883,2382.81398772,13878,2530.83935547,210.323883057,210.323867798
27,0.00183384947013,210.313537598,58.0243225098,16.5254519189,2530.765625,14792,301.92288208,49.5016174316,2578.80004883,2383.0552434,13878,2530.83935547,210.323883057,210.323867798
28,0.00242656515911,210.311660767,58.0243225098,16.5252737661,2530.74414062,14792,301.92288208,49.5016174316,2578.80004883,2381.3769863,13878,2530.83935547,210.323883057,210.323867798
29,0.0032108516898,210.307128906,58.0243225098,16.4395059529,2530.70947266,14792,301.92288208,49.5016174316,2578.80004883,2384.74463563,13878,2530.83935547,210.323883057,210.323867798
