,C,adv_dist,bestC,noise_dist,orig_dist,orig_img,orig_reconstruction_dist,orig_target_dist,orig_target_recon_dist,recon_dist,target_img,target_orig_recon_dist,target_recon_dist,target_reconstruction_dist
37,0.0301749445498,665.561096191,58.0243225098,50.48066468,8707.98339844,23585,269.790039062,173.074035645,8797.77539062,8133.6706982,17860,8712.140625,665.278930664,665.278930664
38,0.0399277433753,665.665771484,58.0243225098,50.4620595388,8706.60742188,23585,269.790039062,173.074035645,8797.77539062,8132.87259736,17860,8712.140625,665.278930664,665.278930664
39,0.0528327301145,665.791992188,58.0243225098,50.4619324129,8704.89160156,23585,269.790039062,173.074035645,8797.77539062,8133.2410275,17860,8712.140625,665.278930664,665.278930664
40,0.0699087157845,665.991394043,58.0243225098,50.4379907363,8702.45898438,23585,269.790039062,173.074035645,8797.77539062,8124.44525593,17860,8712.140625,665.278930664,665.278930664
41,0.0925038084388,666.248046875,58.0243225098,50.4154722766,8699.27441406,23585,269.790039062,173.074035645,8797.77539062,8121.6539374,17860,8712.140625,665.278930664,665.278930664
42,0.122401826084,666.591491699,58.0243225098,50.3846883328,8695.31640625,23585,269.790039062,173.074035645,8797.77539062,8119.90639061,17860,8712.140625,665.278930664,665.278930664
43,0.161963135004,667.176574707,58.0243225098,50.3622859817,8689.91503906,23585,269.790039062,173.074035645,8797.77539062,8120.83639474,17860,8712.140625,665.278930664,665.278930664
44,0.214310988784,667.903259277,58.0243225098,50.2991041114,8682.62207031,23585,269.790039062,173.074035645,8797.77539062,8110.75825975,17860,8712.140625,665.278930664,665.278930664
45,0.283578127623,669.075622559,58.0243225098,50.2389232826,8672.96289062,23585,269.790039062,173.074035645,8797.77539062,8099.88477099,17860,8712.140625,665.278930664,665.278930664
46,0.375232994556,670.772155762,58.0243225098,50.1596912857,8660.67675781,23585,269.790039062,173.074035645,8797.77539062,8090.96560077,17860,8712.140625,665.278930664,665.278930664
47,0.496511489153,673.417175293,58.0243225098,50.0544802741,8644.33007812,23585,269.790039062,173.074035645,8797.77539062,8075.46245551,17860,8712.140625,665.278930664,665.278930664
48,0.656988203526,677.540771484,58.0243225098,49.9135936363,8622.34960938,23585,269.790039062,173.074035645,8797.77539062,8056.13372476,17860,8712.140625,665.278930664,665.278930664
49,0.869332373142,684.008056641,58.0243225098,49.7324836728,8593.91503906,23585,269.790039062,173.074035645,8797.77539062,8029.81713916,17860,8712.140625,665.278991699,665.278930664
