,C,adv_dist,adv_dist_std,bestC,noise_dist,orig_dist,orig_dist_std,orig_img,orig_reconstruction_dist,orig_target_dist,orig_target_recon_dist,orig_target_recon_dist_std,recon_dist,recon_dist_std,target_img,target_orig_recon_dist,target_orig_recon_dist_std,target_recon_dist,target_recon_dist_std,target_reconstruction_dist
0,9.53674316406e-07,360.902618408,8.12872600555,954.757080078,38.210294762,2906.22949219,11.5637559891,19179,366.237335205,58.8359985352,2988.33032227,6.39048290253,2774.39633572,9.65988496363,9417,2904.16308594,5.79834222794,348.720001221,3.74055504799,349.339324951
1,1.26190991523e-06,362.204681396,7.84002828598,954.757080078,38.1521382142,2904.4831543,11.0298919678,19179,366.237335205,58.8359985352,2989.86376953,6.15548324585,2771.61663737,9.21224768278,9417,2903.03417969,6.38368558884,349.670715332,3.90849709511,349.339324951
2,1.66976997207e-06,361.154815674,7.87895870209,954.757080078,38.1696406486,2905.1574707,12.0490207672,19179,366.237335205,58.8359985352,2989.54345703,7.17093992233,2772.68586473,9.80582377445,9417,2904.35595703,5.36528158188,349.565460205,3.78843975067,349.339324951
3,2.20945389628e-06,361.372924805,8.59601402283,954.757080078,38.2483454154,2905.51635742,12.5465402603,19179,366.237335205,58.8359985352,2988.1652832,7.66359996796,2774.12021086,10.212448994,9417,2903.65966797,5.2760310173,350.076721191,4.72312450409,349.339324951
4,2.92356799036e-06,361.317382812,7.71858501434,954.757080078,38.1201521371,2904.72290039,11.7415380478,19179,366.237335205,58.8359985352,2988.16503906,7.06574773788,2772.24746685,9.50999914697,9417,2903.77026367,5.18636512756,350.187805176,4.121342659,349.339324951
5,3.86849023926e-06,362.93081665,8.12868499756,954.757080078,38.1430877473,2906.46533203,11.7878894806,19179,366.237335205,58.8359985352,2989.02929688,6.65902280807,2773.63768279,10.1399955976,9417,2903.96240234,4.96950006485,348.948852539,3.91381907463,349.339324951
6,5.11881899001e-06,362.172424316,8.37961769104,954.757080078,38.2243294263,2904.32568359,10.4178419113,19179,366.237335205,58.8359985352,2987.69042969,6.64390420914,2773.55108218,9.07782866988,9417,2904.66894531,5.29272556305,349.841674805,4.10412788391,349.339324951
7,6.77326488585e-06,361.872375488,8.05173301697,954.757080078,38.1077035943,2903.49975586,12.4537343979,19179,366.237335205,58.8359985352,2989.11743164,7.10898685455,2770.549983,10.3046141003,9417,2903.60253906,5.96965408325,350.015625,3.56531691551,349.339324951
8,8.96244182513e-06,361.012176514,8.54479408264,954.757080078,38.2266920729,2907.41821289,10.7560510635,19179,366.237335205,58.8359985352,2989.32910156,6.95710515976,2777.15746148,8.77675578401,9417,2903.5390625,5.77745723724,349.987976074,4.08800649643,349.339324951
9,1.18591788123e-05,362.938842773,8.25991916656,954.757080078,38.123733377,2903.55810547,12.2200431824,19179,366.237335205,58.8359985352,2987.56958008,7.47582626343,2770.43565062,10.2993659763,9417,2904.23583984,5.35843372345,349.313903809,4.14871549606,349.339324951
10,1.56921669259e-05,362.425415039,7.99558448792,954.757080078,38.1206388992,2904.91479492,11.8223009109,19179,366.237335205,58.8359985352,2989.75463867,6.63758993149,2770.48362354,9.89886027483,9417,2903.61914062,6.44981622696,350.020263672,4.25173950195,349.339324951
11,2.07640077861e-05,359.741760254,6.97771263123,954.757080078,38.2218341022,2905.86645508,11.1595258713,19179,366.237335205,58.8359985352,2989.6574707,7.560962677,2773.92550386,9.16167307423,9417,2902.75,6.10757875443,349.843719482,3.75476360321,349.339324951
12,2.74751109828e-05,360.226196289,8.36974716187,954.757080078,38.1822034384,2907.6262207,12.6724414825,19179,366.237335205,58.8359985352,2988.3449707,6.88602638245,2775.42624823,10.206647811,9417,2902.66186523,5.4103717804,349.768707275,3.9988052845,349.339324951
13,3.63553008356e-05,359.574951172,8.03506374359,954.757080078,38.1459815571,2907.07592773,9.81795883179,19179,366.237335205,58.8359985352,2988.53149414,6.49941110611,2774.2423777,8.15994484042,9417,2903.26098633,5.99228811264,349.807769775,3.70679879189,349.339324951
14,4.81056413264e-05,361.562591553,8.03930950165,954.757080078,38.1366465677,2905.89990234,11.6657752991,19179,366.237335205,58.8359985352,2988.95458984,6.73762798309,2772.41052902,9.51648329285,9417,2904.09228516,5.3666343689,349.441375732,3.78518939018,349.339324951
15,6.36537952232e-05,361.520263672,6.83630895615,954.757080078,38.0764599212,2905.08959961,11.7159004211,19179,366.237335205,58.8359985352,2989.55322266,6.90978908539,2771.4295198,9.44310827004,9417,2903.34838867,5.32893705368,349.554779053,4.06312847137,349.339324951
