,C,adv_dist,adv_dist_std,bestC,noise_dist,orig_dist,orig_dist_std,orig_img,orig_reconstruction_dist,orig_target_dist,orig_target_recon_dist,orig_target_recon_dist_std,recon_dist,recon_dist_std,target_img,target_orig_recon_dist,target_orig_recon_dist_std,target_recon_dist,target_recon_dist_std,target_reconstruction_dist
0,9.53674316406e-07,216.430603027,7.01530838013,1263.34265137,34.5157163432,3367.29321289,10.3112945557,507,378.65625,66.3605957031,3367.3972168,6.55684137344,2841.91070295,8.84295213101,15048,3367.89746094,4.71904945374,207.304290771,3.16914987564,207.873413086
1,1.26190991523e-06,216.574645996,6.29513692856,1263.34265137,34.4858406164,3368.59228516,9.98102664948,507,378.65625,66.3605957031,3368.42041016,6.13977956772,2843.75153536,8.61514117295,15048,3368.37133789,4.85686922073,207.581344604,3.66520881653,207.873413086
2,1.66976997207e-06,217.268615723,6.21757793427,1263.34265137,34.4155639275,3369.76489258,11.0347337723,507,378.65625,66.3605957031,3368.5324707,5.8538441658,2844.13030035,9.64571423601,15048,3368.56787109,5.44009828568,207.321365356,3.40982270241,207.873413086
3,2.20945389628e-06,216.843139648,6.33213329315,1263.34265137,34.5592313411,3366.81884766,9.63541507721,507,378.65625,66.3605957031,3369.08227539,6.53065299988,2839.07663668,8.27693838761,15048,3368.80541992,5.80874061584,207.449371338,2.97161078453,207.873413086
4,2.92356799036e-06,216.663513184,5.67814445496,1263.34265137,34.4614301046,3367.66625977,10.3350219727,507,378.65625,66.3605957031,3368.12158203,5.89262628555,2839.9590154,8.70013891121,15048,3366.68530273,5.43714284897,208.221725464,2.89829015732,207.873413086
5,3.86849023926e-06,216.803848267,6.46285772324,1263.34265137,34.567670872,3368.21240234,11.1847085953,507,378.65625,66.3605957031,3367.8190918,6.26425457001,2842.37777231,9.6019795012,15048,3368.02709961,5.65846014023,208.435806274,3.27954816818,207.873413086
6,5.11881899001e-06,217.434020996,6.7894487381,1263.34265137,34.5787904901,3367.82128906,10.9002256393,507,378.65625,66.3605957031,3369.02807617,6.04298305511,2838.26025845,9.35433599714,15048,3368.45410156,4.67366409302,207.246505737,2.95577907562,207.873413086
7,6.77326488585e-06,217.074645996,6.08657884598,1263.34265137,34.413322403,3370.20288086,9.89482212067,507,378.65625,66.3605957031,3368.30883789,5.82268428802,2841.62421348,8.34729592315,15048,3367.97729492,5.71252632141,207.451446533,3.2134552002,207.873413086
8,8.96244182513e-06,217.732849121,6.26334905624,1263.34265137,34.3086239781,3369.58691406,10.3251409531,507,378.65625,66.3605957031,3369.88842773,5.92896842957,2841.97023422,8.83082588683,15048,3368.70336914,5.99777412415,207.448120117,3.00854825974,207.873413086
9,1.18591788123e-05,217.672088623,6.68016433716,1263.34265137,34.6905268562,3366.91601562,9.89408016205,507,378.65625,66.3605957031,3368.34179688,6.03540658951,2844.98021594,8.34603677242,15048,3367.27783203,5.18231916428,207.224395752,3.43547272682,207.873413086
10,1.56921669259e-05,217.530914307,6.12303066254,1263.34265137,34.4582432956,3370.28369141,10.6168756485,507,378.65625,66.3605957031,3367.67529297,5.92134237289,2845.39513063,9.04677311527,15048,3367.74072266,5.51121520996,207.651504517,3.30418586731,207.873413086
11,2.07640077861e-05,217.282180786,6.43557405472,1263.34265137,34.3351485669,3367.67285156,11.2661066055,507,378.65625,66.3605957031,3367.8840332,5.94900560379,2840.92265138,9.54544551394,15048,3368.00561523,5.70696592331,207.722381592,3.46872615814,207.873413086
12,2.74751109828e-05,216.421463013,6.85790538788,1263.34265137,34.4273543226,3369.80126953,10.8538637161,507,378.65625,66.3605957031,3368.13818359,5.78576898575,2845.62135915,9.37953052029,15048,3367.43310547,5.57926797867,207.803375244,3.05603742599,207.873413086
13,3.63553008356e-05,217.123794556,5.54697322845,1263.34265137,34.5203045656,3370.41503906,9.94844722748,507,378.65625,66.3605957031,3368.57128906,6.57427835464,2840.93659612,8.78940786194,15048,3367.81738281,5.33365345001,207.784973145,3.59629750252,207.873413086
14,4.81056413264e-05,217.166946411,7.0641336441,1263.34265137,34.4747266855,3368.08569336,10.4664411545,507,378.65625,66.3605957031,3368.48242188,7.09558963776,2842.26921188,9.08371277135,15048,3368.12158203,5.77462816238,208.194961548,3.30549740791,207.873413086
15,6.36537952232e-05,215.959671021,6.69261693954,1263.34265137,34.1691097956,3367.30102539,9.83573150635,507,378.65625,66.3605957031,3367.72241211,6.05360794067,2838.39662365,8.37845207967,15048,3367.50366211,5.71528196335,206.925430298,2.97022533417,207.873413086
