,C,adv_dist,adv_dist_std,bestC,noise_dist,orig_dist,orig_dist_std,orig_img,orig_reconstruction_dist,orig_target_dist,orig_target_recon_dist,orig_target_recon_dist_std,recon_dist,recon_dist_std,target_img,target_orig_recon_dist,target_orig_recon_dist_std,target_recon_dist,target_recon_dist_std,target_reconstruction_dist
0,9.53674316406e-07,802.855773926,9.78743362427,545.301025391,24.5016134613,2262.80102539,16.6030311584,22712,124.124191284,44.7895355225,2283.02929688,3.03484320641,2135.84868845,13.7732913127,22495,2256.42382812,8.78159618378,792.528564453,5.3536067009,791.668029785
1,1.26190991523e-06,803.862792969,9.3758764267,545.301025391,24.5291902236,2260.61645508,17.8218421936,22712,124.124191284,44.7895355225,2283.49707031,3.10594797134,2133.98344946,15.0404440852,22495,2257.03613281,10.0553369522,792.10736084,5.6150803566,791.668029785
2,1.66976997207e-06,803.511352539,11.7572050095,545.301025391,24.694075406,2261.67480469,18.1033306122,22712,124.124191284,44.7895355225,2283.15332031,3.53468060493,2138.45122679,15.5247645677,22495,2257.2355957,8.30170440674,793.055297852,4.89127492905,791.668029785
3,2.20945389628e-06,804.221862793,9.33667373657,545.301025391,24.5502297323,2261.12084961,20.1982154846,22712,124.124191284,44.7895355225,2283.17138672,3.41325092316,2135.09435865,17.5599905916,22495,2257.07763672,10.0792541504,792.548522949,5.32886075974,791.668029785
4,2.92356799036e-06,804.632629395,11.2902555466,545.301025391,24.4888779129,2261.79150391,18.3673496246,22712,124.124191284,44.7895355225,2282.90063477,3.40213799477,2134.52862913,14.9972054049,22495,2259.62597656,9.5427570343,792.89666748,4.90952587128,791.668029785
5,3.86849023926e-06,801.945068359,11.1659517288,545.301025391,24.6070029845,2259.78808594,18.2056045532,22712,124.124191284,44.7895355225,2282.96411133,3.55726933479,2134.98699139,15.6915574774,22495,2256.16723633,8.85998249054,793.294311523,5.6226568222,791.668029785
6,5.11881899001e-06,803.890869141,10.4718523026,545.301025391,24.5206826784,2261.56396484,18.3616447449,22712,124.124191284,44.7895355225,2283.03515625,3.38591194153,2134.91184835,15.3103660016,22495,2259.12524414,9.6715221405,793.261779785,5.41786336899,791.668029785
7,6.77326488585e-06,805.290649414,10.6399116516,545.301025391,24.4839548337,2261.08203125,18.2903118134,22712,124.124191284,44.7895355225,2283.07739258,3.1896135807,2134.17678019,15.6692169699,22495,2256.7565918,9.18985939026,792.326171875,5.44549036026,791.668029785
8,8.96244182513e-06,804.439453125,10.9420146942,545.301025391,24.5776826304,2265.14355469,19.0953998566,22712,124.124191284,44.7895355225,2283.70629883,3.16286206245,2139.29626965,16.0261655896,22495,2257.32470703,9.58483982086,792.235290527,5.53144550323,791.668029785
9,1.18591788123e-05,804.494934082,11.6050577164,545.301025391,24.6110407348,2264.60351562,18.6831893921,22712,124.124191284,44.7895355225,2282.80883789,2.98237848282,2138.75010164,15.7282314799,22495,2257.59912109,7.8757019043,792.280700684,5.58330249786,791.668029785
10,1.56921669259e-05,801.765075684,9.97778129578,545.301025391,24.565648826,2258.72045898,17.9742584229,22712,124.124191284,44.7895355225,2283.43676758,3.62891387939,2133.1177835,14.9543091561,22495,2259.32104492,10.169043541,793.365722656,5.18181180954,791.668029785
11,2.07640077861e-05,802.760070801,12.1541633606,545.301025391,24.574043747,2262.87304688,18.998249054,22712,124.124191284,44.7895355225,2283.21972656,3.41367888451,2137.4292642,15.4996845619,22495,2258.73657227,7.91869306564,791.961181641,5.2884812355,791.668029785
12,2.74751109828e-05,802.707275391,11.7024917603,545.301025391,24.6490219099,2262.85644531,16.8436183929,22712,124.124191284,44.7895355225,2283.25073242,3.41228437424,2138.84604801,14.0681997909,22495,2258.89038086,9.66652679443,792.181030273,5.29507875443,791.668029785
13,3.63553008356e-05,804.630493164,9.43657684326,545.301025391,24.5775189755,2262.69848633,19.1089096069,22712,124.124191284,44.7895355225,2283.48583984,3.03338313103,2136.66652164,16.4530837573,22495,2259.17993164,8.88248443604,793.140869141,5.2673034668,791.668029785
14,4.81056413264e-05,802.501403809,10.9008131027,545.301025391,24.5584498944,2262.89770508,17.615272522,22712,124.124191284,44.7895355225,2284.02075195,3.08923244476,2136.52609765,14.7560838478,22495,2257.06933594,8.35600376129,792.630859375,5.53732585907,791.668029785
15,6.36537952232e-05,803.246643066,10.2957906723,545.301025391,24.3411285743,2264.31665039,16.6539001465,22712,124.124191284,44.7895355225,2283.17163086,3.24950003624,2133.33557421,14.1624479103,22495,2255.90478516,8.81195640564,792.391479492,4.85904407501,791.668029785
16,8.42272420414e-05,804.241455078,10.139462471,545.301025391,24.4822278112,2263.38037109,18.5456027985,22712,124.124191284,44.7895355225,2283.23144531,3.51637387276,2135.57228966,15.6609205409,22495,2257.30004883,8.9288187027,792.19720459,5.44627380371,791.668029785
17,0.000111450201075,803.352355957,10.8099107742,545.301025391,24.547999396,2258.08837891,19.4015827179,22712,124.124191284,44.7895355225,2283.45214844,3.29500675201,2132.4076954,16.4517545733,22495,2255.95117188,8.95021343231,792.807006836,4.84372091293,791.668029785
18,0.000147471859236,801.795532227,10.4020385742,545.301025391,24.5077882424,2262.04833984,20.3222484589,22712,124.124191284,44.7895355225,2282.84741211,3.28943538666,2134.78089694,17.1923210569,22495,2259.52514648,9.6291217804,793.026306152,5.89358186722,791.668029785
19,0.000195136017282,805.715026855,10.864315033,545.301025391,24.5376375336,2260.58691406,18.4286575317,22712,124.124191284,44.7895355225,2282.85742188,3.20233607292,2134.55481952,15.6208724422,22495,2258.20361328,9.98437213898,793.165710449,5.41426038742,791.668029785
