,C,adv_dist,adv_dist_std,bestC,noise_dist,orig_dist,orig_dist_std,orig_img,orig_reconstruction_dist,orig_target_dist,orig_target_recon_dist,orig_target_recon_dist_std,recon_dist,recon_dist_std,target_img,target_orig_recon_dist,target_orig_recon_dist_std,target_recon_dist,target_recon_dist_std,target_reconstruction_dist
0,9.53674316406e-07,573.411437988,16.9264125824,721.54699707,54.6624069657,4068.52563477,18.2976551056,16447,756.526977539,81.3286209106,3942.734375,7.26849317551,3632.08807262,14.5259109367,16411,4063.0637207,10.611615181,557.22265625,7.03269147873,556.588500977
1,1.26190991523e-06,575.646606445,12.6230783463,721.54699707,54.7097111065,4070.58959961,17.0346279144,16447,756.526977539,81.3286209106,3940.23144531,8.28000164032,3636.95771593,12.8329304529,16411,4063.3671875,10.0370874405,556.616699219,7.49319696426,556.588500977
2,1.66976997207e-06,572.556030273,15.6455774307,721.54699707,54.6347792111,4070.27416992,20.8366279602,16447,756.526977539,81.3286209106,3941.7722168,8.1946144104,3634.72248437,16.3526773935,16411,4064.89770508,9.28527832031,556.354248047,6.27872180939,556.588500977
3,2.20945389628e-06,570.790527344,12.8048343658,721.54699707,54.7012783178,4069.34838867,19.6082229614,16447,756.526977539,81.3286209106,3942.08056641,8.51630306244,3636.54826412,14.8872519752,16411,4063.58349609,8.75131416321,556.510986328,6.99687767029,556.588500977
4,2.92356799036e-06,569.365661621,14.2681980133,721.54699707,54.7292001543,4068.79882812,20.0828208923,16447,756.526977539,81.3286209106,3940.77026367,8.16427993774,3634.01285466,14.5609752892,16411,4064.97729492,10.246389389,556.006347656,7.48031330109,556.588500977
5,3.86849023926e-06,573.315551758,14.1666507721,721.54699707,54.6537138065,4066.24316406,19.5231761932,16447,756.526977539,81.3286209106,3941.92724609,8.30039024353,3631.71615106,14.9838448609,16411,4065.17724609,9.10230636597,557.13092041,6.77599239349,556.588500977
6,5.11881899001e-06,573.753967285,12.9552631378,721.54699707,54.6279963445,4065.84570312,18.9328727722,16447,756.526977539,81.3286209106,3942.73217773,9.77869129181,3628.17510632,14.6443316717,16411,4063.31567383,9.89647960663,556.532714844,7.45319366455,556.588500977
7,6.77326488585e-06,576.433410645,13.4565992355,721.54699707,54.7769829995,4066.57592773,19.9134578705,16447,756.526977539,81.3286209106,3940.68774414,8.64562416077,3632.66669061,14.7072837034,16411,4064.0690918,10.1121149063,556.576049805,7.66101789474,556.588500977
8,8.96244182513e-06,574.305419922,13.2902746201,721.54699707,54.6578148521,4063.3840332,20.9688034058,16447,756.526977539,81.3286209106,3941.09570312,8.21678352356,3632.35843317,16.1282401399,16411,4064.77124023,8.98175430298,555.808227539,7.10667276382,556.588500977
9,1.18591788123e-05,572.996826172,13.3844890594,721.54699707,54.7298659753,4066.18530273,18.8699913025,16447,756.526977539,81.3286209106,3941.47460938,8.06784057617,3629.24215619,14.4770177496,16411,4064.00854492,7.54921913147,556.36126709,7.05774497986,556.588500977
10,1.56921669259e-05,572.613891602,14.4783821106,721.54699707,54.6513191453,4066.99145508,16.9508781433,16447,756.526977539,81.3286209106,3941.13916016,8.38937282562,3634.46133258,13.4565131752,16411,4063.05273438,9.56917381287,555.877685547,6.16736364365,556.588500977
11,2.07640077861e-05,571.77923584,14.7799701691,721.54699707,54.6559290691,4065.72412109,19.0905818939,16447,756.526977539,81.3286209106,3941.875,8.89266109467,3632.50711969,15.4504773119,16411,4065.27246094,9.66779518127,556.557189941,6.69368886948,556.588500977
12,2.74751109828e-05,573.785095215,14.5529193878,721.54699707,54.6568586492,4071.04882812,20.3519802094,16447,756.526977539,81.3286209106,3941.07470703,8.65306472778,3633.64346699,15.1688356915,16411,4065.07519531,8.28553009033,556.079833984,6.88773107529,556.588500977
13,3.63553008356e-05,574.497192383,13.1106119156,721.54699707,54.6095121239,4069.86157227,19.7570037842,16447,756.526977539,81.3286209106,3941.25805664,8.39984703064,3632.97819871,15.3353704905,16411,4063.84472656,9.39571094513,555.395141602,7.27451610565,556.588500977
14,4.81056413264e-05,575.285095215,12.825592041,721.54699707,54.5597949966,4068.34716797,20.1134471893,16447,756.526977539,81.3286209106,3940.01318359,9.17644405365,3632.54884416,15.5152938062,16411,4064.07739258,10.05128479,555.497192383,6.95889234543,556.588500977
15,6.36537952232e-05,572.485839844,13.9960460663,721.54699707,54.6117994958,4064.07275391,21.7977390289,16447,756.526977539,81.3286209106,3941.85620117,8.24324131012,3630.14650463,16.7311990406,16411,4063.87036133,9.60333347321,556.148071289,7.86044120789,556.588500977
16,8.42272420414e-05,575.153686523,13.4885091782,721.54699707,54.5931992674,4068.25,18.327627182,16447,756.526977539,81.3286209106,3942.8359375,9.09918689728,3631.70542409,14.554429456,16411,4063.23144531,10.0097522736,557.032531738,6.40116405487,556.588500977
17,0.000111450201075,571.351196289,13.56478405,721.54699707,54.5759407664,4065.65209961,18.8645133972,16447,756.526977539,81.3286209106,3942.87524414,8.00810432434,3633.58521549,15.0736607376,16411,4063.28979492,8.70836830139,556.43762207,7.04163837433,556.588500977
18,0.000147471859236,574.930114746,12.8492841721,721.54699707,54.5535848913,4065.42749023,19.5436878204,16447,756.526977539,81.3286209106,3942.24365234,8.7755947113,3628.88532798,15.3997384185,16411,4063.9230957,8.24926185608,555.501464844,6.4650220871,556.588500977
19,0.000195136017282,572.008178711,14.9424295425,721.54699707,54.4588463595,4066.21875,16.630361557,16447,756.526977539,81.3286209106,3943.3918457,7.74479675293,3627.96777506,12.2413215592,16411,4063.8125,9.58584880829,556.760375977,6.40863180161,556.588500977
20,0.000258205633145,572.014282227,12.2068777084,721.54699707,54.4452416684,4065.23754883,16.5806713104,16447,756.526977539,81.3286209106,3940.31713867,9.12265205383,3628.24184407,12.9979589524,16411,4062.70410156,9.24591064453,556.077758789,7.2385931015,556.588500977
21,0.000341659877449,571.61126709,12.8854551315,721.54699707,54.3707973687,4068.52783203,19.8017578125,16447,756.526977539,81.3286209106,3941.77905273,7.86954116821,3629.29500978,14.9981715622,16411,4064.2800293,9.89451408386,556.959228516,7.00963926315,556.588500977
22,0.000452087260783,573.87677002,15.3237514496,721.54699707,54.2316547363,4061.61743164,18.3619709015,16447,756.526977539,81.3286209106,3940.89208984,7.44752645493,3623.2711033,14.3505970099,16411,4063.65698242,9.92978096008,556.662780762,7.89575529099,556.588500977
23,0.000598205719143,572.672851562,13.9217453003,721.54699707,54.2597651524,4068.99926758,19.6808109283,16447,756.526977539,81.3286209106,3942.95092773,8.76521396637,3626.53716356,14.6222975172,16411,4063.06103516,9.07998847961,554.972473145,7.26690196991,556.588500977
24,0.00079155084677,574.400146484,15.6618804932,721.54699707,53.8249900648,4068.11865234,17.5683364868,16447,756.526977539,81.3286209106,3942.59277344,7.14749526978,3618.77291447,13.4286050877,16411,4063.28320312,9.85719108582,556.639770508,5.50132751465,556.588500977
25,0.00104738678783,574.188964844,14.3693628311,721.54699707,53.6790487576,4065.71850586,19.574678421,16447,756.526977539,81.3286209106,3942.29345703,8.97388744354,3617.02516106,15.0228262253,16411,4064.32373047,10.0357551575,557.902587891,7.68336200714,556.588500977
26,0.001385911135,572.049072266,13.4691457748,721.54699707,52.8515867149,4065.46582031,20.514421463,16447,756.526977539,81.3286209106,3942.43994141,8.48461055756,3608.08581532,16.6128984854,16411,4062.64501953,9.51673698425,555.736022949,6.97694635391,556.588500977
27,0.00183384947013,575.536499023,14.7249755859,721.54699707,52.7684853142,4065.85791016,21.1173553467,16447,756.526977539,81.3286209106,3941.08300781,7.96536922455,3606.02512112,17.325899018,16411,4062.95629883,10.3268756866,555.227539062,7.02498579025,556.588500977
28,0.00242656515911,574.144714355,13.7331857681,721.54699707,39.3485566397,4066.35571289,18.778213501,16447,756.526977539,81.3286209106,3941.41064453,8.2032957077,3573.82325037,16.6344482151,16411,4064.93066406,8.89290904999,555.328796387,6.87935352325,556.588500977
29,0.0032108516898,571.67565918,14.8170175552,721.54699707,39.3864678527,4065.17626953,20.6489696503,16447,756.526977539,81.3286209106,3941.9296875,8.4615354538,3578.43136964,18.3467076861,16411,4064.94897461,9.67033481598,556.290405273,6.65143346786,556.588500977
30,0.00424862606451,575.286865234,13.6273784637,721.54699707,39.1934306333,4065.16625977,18.3360691071,16447,756.526977539,81.3286209106,3941.38964844,8.82271194458,3595.27509201,16.1819313742,16411,4062.8046875,9.06091976166,555.697265625,7.10499715805,556.588500977
31,0.00562181835994,573.262939453,13.5095100403,721.54699707,38.6322704551,4068.00561523,20.3066635132,16447,756.526977539,81.3286209106,3941.86132812,7.96046495438,3608.77416857,18.2252074215,16411,4062.8347168,9.68099594116,556.641113281,6.93759441376,556.588500977
32,0.00743883755058,574.67779541,13.7481985092,721.54699707,38.804816311,4064.88720703,17.838508606,16447,756.526977539,81.3286209106,3940.48364258,8.59100151062,3605.50502099,15.8861074945,16411,4063.54394531,10.0588979721,555.095336914,7.06711196899,556.588500977
33,0.00984313338995,574.155944824,12.5266647339,721.54699707,38.1810997601,4063.94873047,19.3407096863,16447,756.526977539,81.3286209106,3942.60083008,8.39192485809,3619.78292846,17.0216830334,16411,4065.31933594,9.41060638428,555.479553223,6.87515640259,556.588500977
34,0.013024517335,573.016235352,14.0444688797,721.54699707,37.6255811664,4066.07495117,18.3512706757,16447,756.526977539,81.3286209106,3940.86303711,8.65970611572,3631.43671021,16.0341259258,16411,4063.54003906,9.79455471039,557.390197754,6.54412412643,556.588500977
35,0.0172341521829,571.221679688,13.4175071716,721.54699707,38.1463094351,4064.98461914,17.0487957001,16447,756.526977539,81.3286209106,3941.79980469,8.17406082153,3627.27849418,15.0179872569,16411,4062.94555664,9.79316997528,556.421630859,7.34822702408,556.588500977
36,0.0228043757379,576.051635742,13.3397550583,721.54699707,37.3965389392,4064.79272461,17.8291454315,16447,756.526977539,81.3286209106,3942.43554688,8.00362110138,3649.16375202,15.9340408598,16411,4064.71679688,9.42420291901,555.649353027,7.01088666916,556.588500977
37,0.0301749445498,573.835144043,15.2868013382,721.54699707,37.2187205652,4066.65991211,16.1971359253,16447,756.526977539,81.3286209106,3941.69970703,8.88551425934,3649.29312123,14.3853009568,16411,4064.87207031,9.81982803345,554.838012695,7.53029251099,556.588500977
38,0.0399277433753,572.929443359,15.2408409119,721.54699707,37.0031976792,4067.91430664,18.1731719971,16447,756.526977539,81.3286209106,3942.24145508,7.99251747131,3650.68747841,16.3851732742,16411,4063.1184082,9.11571884155,556.591552734,8.10869789124,556.588500977
39,0.0528327301145,572.594909668,14.9272003174,721.54699707,36.8056225875,4067.58251953,19.6244773865,16447,756.526977539,81.3286209106,3942.24902344,8.76723003387,3651.9717055,17.8966168144,16411,4064.25195312,8.89721679688,555.670654297,6.00118589401,556.588500977
40,0.0699087157845,572.762939453,12.5546941757,721.54699707,36.6373004491,4066.49853516,20.519367218,16447,756.526977539,81.3286209106,3940.31958008,9.44310092926,3648.34194611,18.5069491775,16411,4063.95678711,10.6239719391,556.708679199,6.70544290543,556.588500977
