,C,adv_dist,adv_dist_std,bestC,noise_dist,orig_dist,orig_dist_std,orig_img,orig_reconstruction_dist,orig_target_dist,orig_target_recon_dist,orig_target_recon_dist_std,recon_dist,recon_dist_std,target_img,target_orig_recon_dist,target_orig_recon_dist_std,target_recon_dist,target_recon_dist_std,target_reconstruction_dist
0,9.53674316406e-07,241.967010498,6.41381072998,545.301025391,124.117004513,9386.8125,12.7555789948,25103,366.702453613,186.202438354,9446.84472656,8.40024471283,6375.49551187,10.8778794385,16766,9386.39355469,6.27407884598,228.995117188,3.35019922256,228.996154785
1,1.26190991523e-06,241.287597656,6.27712488174,545.301025391,124.280130705,9387.96777344,12.6809968948,25103,366.702453613,186.202438354,9446.6171875,8.5551700592,6344.61357449,10.8924761698,16766,9384.2890625,6.28589105606,229.765289307,3.12245082855,228.996154785
2,1.66976997207e-06,242.410415649,6.55376911163,545.301025391,124.436626294,9387.14160156,12.8622102737,25103,366.702453613,186.202438354,9445.703125,8.44091510773,6381.18465577,10.9555868122,16766,9385.74804688,6.38629293442,228.367324829,3.03600096703,228.996154785
3,2.20945389628e-06,242.467208862,6.22749376297,545.301025391,123.496539378,9384.59765625,14.1035299301,25103,366.702453613,186.202438354,9446.10351562,8.08525371552,6383.74313271,12.0546684937,16766,9385.95605469,6.83325767517,229.075149536,3.05335903168,228.996154785
4,2.92356799036e-06,242.71307373,6.84793663025,545.301025391,124.035665886,9385.79589844,12.134308815,25103,366.702453613,186.202438354,9445.63183594,8.82856273651,6433.27383276,10.0571153979,16766,9386.26953125,6.26664400101,228.496078491,3.40344953537,228.996154785
5,3.86849023926e-06,242.008590698,7.00143575668,545.301025391,123.765570597,9385.8828125,13.5012702942,25103,366.702453613,186.202438354,9447.04003906,7.89283084869,6379.07376674,11.6637388621,16766,9384.70019531,6.12034749985,229.472717285,3.06145453453,228.996154785
6,5.11881899001e-06,241.357299805,7.17992830276,545.301025391,124.103461268,9387.46777344,14.5515031815,25103,366.702453613,186.202438354,9444.93457031,8.0222234726,6372.52047583,12.112736214,16766,9385.37109375,6.12116956711,228.967544556,3.05058598518,228.996154785
7,6.77326488585e-06,241.855621338,7.00940895081,545.301025391,124.489589179,9389.12695312,12.7965612411,25103,366.702453613,186.202438354,9444.81054688,7.80525779724,6358.95296995,9.49804449451,16766,9386.47949219,5.96810865402,228.81578064,3.07787561417,228.996154785
8,8.96244182513e-06,241.364761353,6.6004242897,545.301025391,122.590616612,9384.62792969,11.4936923981,25103,366.702453613,186.202438354,9447.51367188,7.71064424515,6398.413352,10.166889316,16766,9386.40527344,7.31305456161,228.881607056,2.96557760239,228.996154785
9,1.18591788123e-05,241.687728882,6.73174238205,545.301025391,123.713317482,9387.77832031,13.3738336563,25103,366.702453613,186.202438354,9447.04199219,8.50375080109,6348.49160506,11.8062557168,16766,9385.64257812,6.94599199295,229.171340942,3.45921778679,228.996154785
10,1.56921669259e-05,242.817749023,6.88615036011,545.301025391,123.71680238,9384.75097656,12.6129665375,25103,366.702453613,186.202438354,9444.875,7.6451292038,6382.74502404,10.7191176034,16766,9386.02148438,6.05423021317,228.695953369,2.46712303162,228.996154785
11,2.07640077861e-05,241.867279053,6.97270488739,545.301025391,123.96324097,9386.53222656,15.7236909866,25103,366.702453613,186.202438354,9445.73144531,7.73627376556,6354.34889763,12.4741746166,16766,9385.75390625,7.45547580719,229.326431274,3.15898537636,228.996154785
12,2.74751109828e-05,241.841949463,6.39140176773,545.301025391,123.964126521,9386.77441406,14.6861085892,25103,366.702453613,186.202438354,9445.08496094,9.32859992981,6373.28731001,11.5399151708,16766,9386.95605469,6.59482479095,228.277435303,3.15922665596,228.996154785
13,3.63553008356e-05,241.560638428,5.86289787292,545.301025391,123.801675977,9386.82617188,14.3863143921,25103,366.702453613,186.202438354,9444.92480469,8.58505916595,6362.76219604,12.1784371546,16766,9386.06445312,6.32512807846,228.204055786,3.35508394241,228.996154785
14,4.81056413264e-05,241.835189819,6.34671974182,545.301025391,123.595689033,9386.56738281,12.8226928711,25103,366.702453613,186.202438354,9445.29492188,7.99454259872,6364.6854853,10.6923341862,16766,9386.57714844,6.20350790024,228.525192261,3.33664250374,228.996154785
15,6.36537952232e-05,242.562576294,6.18402481079,545.301025391,125.482411313,9386.12597656,12.408121109,25103,366.702453613,186.202438354,9446.09472656,8.56359481812,6365.46165927,10.2663555094,16766,9385.25390625,6.66262531281,228.827819824,3.46662354469,228.996154785
16,8.42272420414e-05,243.508575439,6.45443868637,545.301025391,124.336172901,9384.69824219,12.0641508102,25103,366.702453613,186.202438354,9445.81835938,8.41270256042,6377.48048542,10.8700334342,16766,9386.7734375,6.64258289337,228.552581787,3.03762173653,228.996154785
17,0.000111450201075,243.205200195,5.98072052002,545.301025391,123.436603471,9383.56933594,11.9768342972,25103,366.702453613,186.202438354,9445.72167969,8.0719833374,6375.74754692,9.98079796879,16766,9385.75976562,6.02797937393,228.53704834,2.92312765121,228.996154785
18,0.000147471859236,242.481231689,6.24424552917,545.301025391,123.044770399,9385.74609375,13.6397590637,25103,366.702453613,186.202438354,9447.45117188,7.99435663223,6388.58504264,12.0693461038,16766,9385.83007812,5.58993339539,228.784866333,3.32216739655,228.996154785
19,0.000195136017282,242.447341919,6.81521177292,545.301025391,123.912331351,9386.18847656,13.8924770355,25103,366.702453613,186.202438354,9446.76464844,7.90369987488,6383.23515526,11.6286528359,16766,9387.05273438,6.14880084991,228.590835571,3.29622983932,228.996154785
