,C,adv_dist,adv_dist_std,bestC,noise_dist,orig_dist,orig_dist_std,orig_img,orig_reconstruction_dist,orig_target_dist,orig_target_recon_dist,orig_target_recon_dist_std,recon_dist,recon_dist_std,target_img,target_orig_recon_dist,target_orig_recon_dist_std,target_recon_dist,target_recon_dist_std,target_reconstruction_dist
70,311.443847656,10.2872648239,0.449773937464,177.878387451,3.1132021397,8.17946243286,0.448899894953,3562,1.62442338467,13.6786212921,13.7997751236,0.0534549206495,7.54193908399,0.331001433995,7898,13.5688209534,0.138928890228,3.02149891853,0.284688830376,3.01698064804
71,412.105163574,10.620850563,0.393766015768,177.878387451,2.6615101783,7.82780170441,0.435822486877,3562,1.62442338467,13.6786212921,13.7883605957,0.0561186186969,7.27920966073,0.343496818245,7898,13.5683422089,0.138578146696,3.05650019646,0.259001195431,3.01698064804
72,545.301025391,10.870265007,0.38816267252,177.878387451,2.14908919863,7.58709287643,0.377232313156,3562,1.62442338467,13.6786212921,13.8058919907,0.0535062402487,7.09970415845,0.325542818338,7898,13.5993261337,0.131875112653,3.05064606667,0.254360735416,3.01698064804
73,721.54699707,11.1097660065,0.393089562654,177.878387451,1.81531118603,7.34762525558,0.376792371273,3562,1.62442338467,13.6786212921,13.797410965,0.0573409572244,6.92662373972,0.331600260538,7898,13.5697450638,0.131532132626,2.97666501999,0.233000546694,3.01698064804
74,954.757080078,11.2374296188,0.396708846092,177.878387451,1.56948109411,7.13244152069,0.428798377514,3562,1.62442338467,13.6786212921,13.7887630463,0.0555923059583,6.72306634843,0.389762769286,7898,13.5863113403,0.124756291509,3.0255947113,0.263579070568,3.01698064804
75,1263.34265137,11.3665246964,0.383684009314,177.878387451,1.41649974235,7.00135993958,0.425253152847,3562,1.62442338467,13.6786212921,13.7915811539,0.0595927499235,6.6114390418,0.39067520655,7898,13.5668869019,0.130170747638,3.02611684799,0.257408857346,3.01698064804
76,1671.66577148,11.3969631195,0.389772027731,177.878387451,1.29636340294,6.89878988266,0.466478943825,3562,1.62442338467,13.6786212921,13.7948141098,0.0579878389835,6.52500005861,0.43607008077,7898,13.5938034058,0.119869761169,3.02392339706,0.238240405917,3.01698064804
77,2211.96240234,11.5533781052,0.413407236338,177.878387451,1.16066425594,6.66219425201,0.488251596689,3562,1.62442338467,13.6786212921,13.7956447601,0.0612055100501,6.31318636862,0.454098359121,7898,13.5839366913,0.116496607661,2.98351287842,0.260123550892,3.01698064804
78,2926.88745117,11.6895217896,0.413836449385,177.878387451,1.02909765109,6.46724319458,0.490489304066,3562,1.62442338467,13.6786212921,13.8012905121,0.0519421026111,6.14403596222,0.460425481015,7898,13.5899925232,0.138005211949,3.03634619713,0.239869713783,3.01698064804
79,3872.88232422,11.9506340027,0.415077656507,177.878387451,0.889060338309,6.107609272,0.597212791443,3562,1.62442338467,13.6786212921,13.7982597351,0.0659600049257,5.83890539604,0.563328935416,7898,13.5737724304,0.126158326864,3.0170404911,0.258514285088,3.01698064804
80,5124.63085938,12.0671949387,0.486312896013,177.878387451,0.78252127678,5.77016830444,0.735240161419,3562,1.62442338467,13.6786212921,13.7934513092,0.0534452795982,5.52830524234,0.691808868989,7898,13.5624523163,0.124523237348,3.0663459301,0.25318607688,3.01698064804
