,C,adv_dist,adv_dist_std,bestC,noise_dist,orig_dist,orig_dist_std,orig_img,orig_reconstruction_dist,orig_target_dist,orig_target_recon_dist,orig_target_recon_dist_std,recon_dist,recon_dist_std,target_img,target_recon_dist,target_recon_dist_std,target_reconstruction_dist
0,0.0009765625,5.2266163826,0.593089401722,216.032119751,14.4292839429,9.97711086273,0.609330177307,2088,2.78191661835,10.7756528854,10.9315376282,10.9315376282,13.6455685534,0.192475722373,3958,4.21845722198,4.21845722198,4.19830274582
1,0.00149280857295,5.31681632996,0.513324558735,216.032119751,14.5614626674,10.0623283386,0.579769909382,2088,2.78191661835,10.7756528854,10.9358348846,10.9358348846,13.814130693,0.186619278429,3958,4.22525405884,4.22525405884,4.19830274582
2,0.00228196079843,5.22281742096,0.5256472826,216.032119751,15.2627100876,10.1140871048,0.53596585989,2088,2.78191661835,10.7756528854,10.9288635254,10.9288635254,14.4850688529,0.174835001578,3958,4.1784362793,4.1784362793,4.19830274582
3,0.0034882875625,5.28309202194,0.577260136604,216.032119751,14.2970219839,9.95183372498,0.506933867931,2088,2.78191661835,10.7756528854,10.9280042648,10.9280042648,13.5452971964,0.195022643165,3958,4.20924043655,4.20924043655,4.19830274582
4,0.0053323218599,5.19701766968,0.530499339104,216.032119751,14.207388316,10.0765066147,0.51947170496,2088,2.78191661835,10.7756528854,10.9362096786,10.9362096786,13.5244318248,0.182621463869,3958,4.23692798615,4.23692798615,4.19830274582
5,0.00815117917955,5.35144853592,0.544276952744,216.032119751,14.2882372826,9.98676204681,0.622271418571,2088,2.78191661835,10.7756528854,10.936044693,10.936044693,13.5507943587,0.215125926385,3958,4.19588041306,4.19588041306,4.19830274582
6,0.0124601861462,5.27095174789,0.589516341686,216.032119751,13.977243438,9.95804595947,0.535648822784,2088,2.78191661835,10.7756528854,10.9173622131,10.9173622131,13.3926070953,0.195818290103,3958,4.24422931671,4.24422931671,4.19830274582
7,0.0190470889211,5.23995494843,0.50258231163,216.032119751,13.8388059073,10.1002664566,0.538287878036,2088,2.78191661835,10.7756528854,10.9524316788,10.9524316788,13.3448036286,0.228849799537,3958,4.19132852554,4.19132852554,4.19830274582
8,0.0291160643101,5.21545219421,0.616737246513,216.032119751,13.3506370065,10.1458539963,0.48998066783,2088,2.78191661835,10.7756528854,10.9213476181,10.9213476181,12.9826108364,0.194889474914,3958,4.18663787842,4.18663787842,4.19830274582
9,0.0445078648627,5.26502513885,0.594639837742,216.032119751,12.3831771994,10.0589017868,0.58271074295,2088,2.78191661835,10.7756528854,10.9365987778,10.9365987778,12.3276521454,0.255336274088,3958,4.2563662529,4.2563662529,4.19830274582
